Season,Name,Age,Squad,Competition,Minutes,Goal,Assist,Non penalty,Penalty,Penalty attempt,Shoot,Off target,On target,Blocked,Rating,Pass,Acclb,Inacclb,accsp,inaccsp,Keypass,Yellow,Red
2015-2016,Messi,28,Barcelona,Champions Lg,630 ,6 ,1 ,5 ,1 ,1 ,39 ,14 ,14 ,11 ,8.28 ,479 ,17 ,12 ,391 ,59 ,10 ,1 ,0 
2015-2016,Messi,28,Barcelona,La Liga,2729 ,26 ,16 ,23 ,3 ,6 ,158 ,42 ,75 ,41 ,8.46 ,1838 ,117 ,45 ,1388 ,288 ,77 ,3 ,0 
2016-2017,Messi,29,Barcelona,Champions Lg,810 ,11 ,2 ,9 ,2 ,2 ,38 ,16 ,16 ,6 ,8.24 ,485 ,27 ,13 ,368 ,77 ,19 ,0 ,0 
2016-2017,Messi,29,Barcelona,La Liga,2828 ,37 ,9 ,31 ,6 ,7 ,179 ,54 ,77 ,48 ,8.47 ,1646 ,92 ,43 ,1228 ,283 ,79 ,6 ,0 
2017-2018,Messi,30,Barcelona,Champions Lg,783 ,6 ,2 ,6 ,0 ,0 ,44 ,11 ,24 ,9 ,8.03 ,493 ,15 ,8 ,387 ,83 ,17 ,2 ,0 
2017-2018,Messi,30,Barcelona,La Liga,3002 ,34 ,12 ,32 ,2 ,4 ,197 ,57 ,96 ,44 ,8.68 ,1883 ,75 ,36 ,1454 ,318 ,87 ,3 ,0 
2018-2019,Messi,31,Barcelona,Champions Lg,838 ,12 ,3 ,11 ,1 ,1 ,54 ,18 ,26 ,10 ,8.77 ,593 ,34 ,9 ,467 ,83 ,27 ,0 ,0 
2018-2019,Messi,31,Barcelona,La Liga,2713 ,36 ,13 ,32 ,4 ,5 ,170 ,53 ,87 ,30 ,8.48 ,1830 ,115 ,39 ,1372 ,304 ,92 ,3 ,0 
2019-2020,Messi,32,Barcelona,Champions Lg,662 ,3 ,3 ,3 ,0 ,0 ,31 ,7 ,15 ,9 ,8.37 ,375 ,18 ,6 ,289 ,62 ,17 ,2 ,0 
2019-2020,Messi,32,Barcelona,La Liga,2880 ,25 ,21 ,20 ,5 ,5 ,159 ,44 ,71 ,44 ,8.71 ,1975 ,71 ,36 ,1560 ,308 ,89 ,4 ,0 
2020-2021,Messi,33,Barcelona,Champions Lg,540 ,5 ,2 ,1 ,4 ,5 ,37 ,6 ,20 ,11 ,8.51 ,433 ,11 ,5 ,373 ,44 ,23 ,0 ,0 
2020-2021,Messi,33,Barcelona,La Liga,3023 ,30 ,9 ,27 ,3 ,5 ,196 ,50 ,91 ,55 ,8.52 ,2248 ,71 ,25 ,1843 ,309 ,77 ,4 ,0 
2021-2022,Messi,34,Paris S-G,Champions Lg,90 ,0 ,0 ,0 ,0 ,0 ,3 ,2 ,1 ,0 ,7.01 ,63 ,1 ,0 ,49 ,13 ,3 ,1 ,0 
2021-2022,Messi,34,Paris S-G,Ligue 1,25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.25 ,21 ,0 ,0 ,20 ,1 ,0 ,0 ,0 
